,codigo,descricao,sum,min,max,mean,std,total_movimento,minimo_mes,maximo_mes,media_mensal
1170,09083,CONJ SOQ 90 CM PARALELO PR C/ELE SPOT,112,4,16,10.181818181818182,4.854239009735343,112,4,64,18.666666666666668
1171,09092,ARANDELA ALZ 30 CM REDONDA COBRE,4,4,4,4.0,,4,4,4,4.0
1172,09093,ARANDELA ALZ 30 CM REDONDA PRETO,20,8,12,10.0,2.8284271247461903,20,8,12,10.0
1173,09094,ARANDELA ALZ 30 CM REDONDA MARROM,8,8,8,8.0,,8,8,8,8.0
1174,09095,ARANDELA ALZ 30 CM REDONDA OURO VELHO,4,4,4,4.0,,4,4,4,4.0
1175,09096,"DISCO AL FURO 3,5MM ARAND EVOQ MARROM",8,8,8,8.0,,8,8,8,8.0
1176,09097,"DISCO AL FURO 3,5MM ARAND EVOQ OURO VELH",4,4,4,4.0,,4,4,4,4.0
1177,09098,ARANDELA ALZ 25 CM QUADRADA PRETO LISO,36,6,24,12.0,10.392304845413264,36,6,24,12.0
1178,09100,ARANDELA ALZ 25 CM QUADRADA MARROM,24,24,24,24.0,,24,24,24,24.0
1179,09112,CX PAP SIMPLES MASTER 885X220X433  R:563,14,1,3,1.75,0.7071067811865476,14,1,3,2.3333333333333335
1180,09113,CONJ PENDENTE COBRE 335 VINTAGE,125,1,36,15.625,13.265826127955352,125,1,36,17.857142857142858
1181,09145,NIPEL ACO M10 X 1 X 55 MM ZB,53,4,32,8.833333333333334,11.356349178616632,53,4,37,13.25
1182,09153,"BALIZADOR AL 2"" X 650 MM PRETO LISO",25,2,6,3.5714285714285716,1.618347187425374,25,2,7,5.0
1183,09170,CX PAP KRAFT S/ IMPRESSAO REF 551,24,4,12,6.0,4.0,24,4,12,6.0
1184,09174,CHAPEU INJ P/ LANTER QUADRA OURO VELHO,10,1,8,3.3333333333333335,4.041451884327381,10,2,8,5.0
1185,09176,QUADRO INJ P/ LANTER QUADRA OURO VELHO,10,1,8,3.3333333333333335,4.041451884327381,10,2,8,5.0
1186,09177,BOLA INJ P/ LANTER QUADRA S/ F OURO VELH,10,1,8,3.3333333333333335,4.041451884327381,10,2,8,5.0
1187,09178,BRACO INJ ARANDE QUADRA OURO VELHO,10,1,8,3.3333333333333335,4.041451884327381,10,2,8,5.0
1188,09179,"TUBO AL ACABAMENTO 2""X 50MM",443,135,308,221.5,122.32947314527271,443,135,308,221.5
1189,09181,"TUBO AL ACABAMENTO 2""X 50MM PRETO",6,3,3,3.0,0.0,6,6,6,6.0
1190,09182,"TUBO AL ACABAMENTO 2""X 50MM COBRE",515,1,48,8.728813559322035,7.260736422407513,515,6,90,28.61111111111111
1191,09186,FRENTE ARAND INJ OURO VELHO,17,8,9,8.5,0.7071067811865476,17,8,9,8.5
1192,09190,FUNDO ARAND INJ OURO VELHO,17,8,9,8.5,0.7071067811865476,17,8,9,8.5
1193,09195,BASE TARTA INJ COBRE,27,1,24,9.0,13.0,27,3,24,13.5
1194,09196,BASE TARTA INJ OURO VELHO,24,24,24,24.0,,24,24,24,24.0
1195,09199,GRADE TARTA INJ COBRE,27,1,24,9.0,13.0,27,3,24,13.5
1196,09200,GRADE TARTA INJ OURO VELHO,24,24,24,24.0,,24,24,24,24.0
1197,09218,"SAPATA ALUMINIO 140X140X1,5MM C/FURO 2""",114,7,77,38.0,35.679125549822544,114,7,77,38.0
1198,09219,PORCA PASSANTE INJ P/TRAVESSA PRETO,82082,2,1000,51.85217940619078,96.08412417812727,82082,874,5706,3157.0
1199,09220,PORCA PASSANTE INJ P/TRAVESSA BRANCO,38591,2,650,36.406603773584905,68.34228795359707,38591,318,2510,1484.2692307692307
1200,09221,PORCA PASSANTE INJ P/TRAVESSA MARROM,28362,2,720,54.437619961612285,91.83685600279644,28362,72,2194,1090.8461538461538
1201,09222,PORCA PASSANTE INJ P/TRAVESSA COBRE,1969,2,144,21.877777777777776,26.504961493469235,1969,12,378,78.76
1202,09223,PORCA PASSANTE INJ P/TRAVESSA OURO VELHO,1178,2,432,34.64705882352941,71.16301488875412,1178,12,432,69.29411764705883
1203,09227,TUBO ACABAMENTO AL 7/8 X 50MM COBRE,60,6,12,8.571428571428571,3.2071349029490928,60,6,24,12.0
1204,09233,CABECA AL REF 122  S/ PINTURA SOLDADA,247,1,30,6.024390243902439,6.270916220449963,247,5,30,14.529411764705882
1205,09234,CABECA AL REF 117 S/ PINTURA SOLDADA,359,1,20,6.410714285714286,5.11957663631134,359,4,44,17.095238095238095
1206,09235,"DISCO DE ALUMINIO 120X 1,00 MOLE",390,1,60,16.25,12.69799710327509,390,13,97,30.0
1207,09238,ELE ACO 2 F P/ SUP SOQ ARANDELA ZINCADO,234,34,200,117.0,117.37972567696688,234,234,234,234.0
1208,09248,BUCHA CENTRAL PEAD TUBO 7/8 19X19X25MM,352,1,24,8.0,4.759323774518569,352,6,60,23.466666666666665
1209,09254,ARANDELA ALZ 30 CM QUADRADA PRETO,9,1,8,4.5,4.949747468305833,9,1,8,4.5
1210,09255,ARANDELA ALZ 30 CM QUADRADA MARROM,8,8,8,8.0,,8,8,8,8.0
1211,09256,ELE ALUMINIO P/TRILHO,17000,7000,10000,8500.0,2121.3203435596424,17000,7000,10000,8500.0
1212,09260,PARAF CAB SEX DIN933 M4X25MM ZB,172212,8,8050,3311.769230769231,2063.0947495695286,172212,8,14772,7487.478260869565
1213,09261,TRAVESSA INJ  MACHO PR - PEAD,86070,100,4025,1831.276595744681,923.5083084329456,86070,1058,7378,3912.2727272727275
1214,09262,TRAVESSA INJ  FEMEA PR - PEAD,86092,2,4025,1624.377358490566,1047.011300108278,86092,1058,7382,3913.2727272727275
1215,09272,"REBITE AL 3,2X 12 MM ",8,2,4,2.6666666666666665,1.1547005383792515,8,4,4,4.0
1216,09276,"TUBO ALUMINIO 2""X 350MM",270,30,50,45.0,8.366600265340756,270,30,50,45.0
1217,09277,"DISCO AL FURO 4,5MM P/TRAV EVOQUE",36,4,12,7.2,3.3466401061363023,36,4,12,7.2
1218,09278,PORCA SEXTA M4 ZB,72,8,24,14.4,6.6932802122726045,72,8,24,14.4
1219,09286,PORCA PASSANTE INJ P/TRAVESSA AMARELO,52,4,40,17.333333333333332,19.73153144926499,52,4,40,17.333333333333332
1220,09287,PORCA PASSANTE INJ P/TRAVESSA VERMELHO,2,2,2,2.0,,2,2,2,2.0
1221,09290,"SACO PE 30CM X 120 CM X 0,10 MICRAS",2067,1,48,10.386934673366834,9.795176619171366,2067,9,162,79.5
1222,09295,TRAVESSA INJ DUPLA 2 PARAF 5/32 X 7/8,75560,1,500,23.487721479639415,43.51572228667887,75560,983,4992,2906.153846153846
1223,09297,"TUBO ALUMINIO 2""X 150MM",258,39,60,51.6,11.058933040759403,258,39,60,51.6
1224,09308,DISCO AL ARAND FURO P/ TRAVESSA BRANCO,51,2,32,7.285714285714286,10.96531327587567,51,2,37,10.2
1225,09309,DISCO AL ARAND FURO P/ TRAVESSA PRETO,39,1,5,2.7857142857142856,1.3114039117603011,39,1,10,4.333333333333333
1226,09310,DISCO AL ARAND FURO P/ TRAVESSA COBRE,1,1,1,1.0,,1,1,1,1.0
1227,09311,TUBO AL 7/8  X 400 MM BRANCO PINTADO,16,1,6,4.0,2.449489742783178,16,1,6,4.0
1228,09312,TUBO ALUMINIO 7/8 X 400MM,130,30,100,65.0,49.49747468305833,130,30,100,65.0
1229,09370,TRILHO 1000MM 4 FUROS 40X156 BRANCO LISO,482,1,26,8.763636363636364,6.605170915902391,482,2,55,20.083333333333332
1230,09371,TRILHO 1000MM 3 FUROS 40X156 BRANCO LISO,281,1,40,9.366666666666667,9.57541151842188,281,2,40,12.772727272727273
1231,09372,CONJ COPO P/ TRILHO 90CM 106 BR/BR,1320,2,80,20.307692307692307,16.00090141691543,1320,2,126,52.8
1232,09373,CX  MASTER 1020X210X140 REF 649/3,1002,0,24,5.0606060606060606,4.98997610813519,1002,4,80,38.53846153846154
1233,09374,TRILHO AL SOLDADO 3 FURO 1000X46X460,735,1,50,14.134615384615385,12.083092783791717,735,1,118,31.956521739130434
1234,09375,PERFIL AL QUAD 1000MM P/ TRILHO,2211,4,150,63.17142857142857,26.029943972150182,2211,15,290,116.36842105263158
1235,09376,TRILHO 1000MM 3 FUROS 40X156 PRETO LISO,540,1,48,12.272727272727273,11.644668680047367,540,2,48,21.6
1236,09377,CONJ COPO P/ TRILHO 90CM 106 PR/PR,2306,2,96,29.189873417721518,23.410536718985124,2306,20,176,92.24
1237,09381,TRILHO AL SOLDADO 1000 4FURO 46X460,1258,1,56,15.924050632911392,14.461063683878802,1258,2,137,54.69565217391305
1238,09383,TRILHO 1000MM 4 FUROS 40X156 PRETO LISO,744,1,40,11.446153846153846,10.849871498707326,744,2,56,29.76
1239,09415,CANOPLA AL 10 X 20 COBRE,9,4,5,4.5,0.7071067811865476,9,9,9,9.0
1240,09416,CANOPLA AL 10 X 20 OURO VELHO,4,4,4,4.0,,4,4,4,4.0
1241,09418,"DISCO AL CANOPLA 100X25X0,8 COBRE",1,1,1,1.0,,1,1,1,1.0
1242,09419,TRILHO 1000MM 3 FUROS 40X156 COBRE,2,2,2,2.0,,2,2,2,2.0
1243,09421,CHAPEU PEND AL OURO VEL REF 364 S/ CORTE,8,4,4,4.0,0.0,8,4,4,4.0
1244,09424,PERFIL ESPONJOSO 18 X 13 -BORRA CIA 4006,132,5,38,22.0,11.349008767288886,132,5,38,22.0
1245,09428,"DISCO DE ALUMINIO 130X0,9 MOLE",17,17,17,17.0,,17,17,17,17.0
1246,09429,CHAPEU PEND AL 610 COBRE,69,3,18,8.625,4.926241685388278,69,3,18,8.625
1247,09432,PRENSA CABO FEMEA INJ MARROM,2,2,2,2.0,,2,2,2,2.0
1248,09434,"CONJ SOQ 90 CM PRETO ELE ""NOVO""",32,8,24,16.0,11.313708498984761,32,8,24,16.0
1249,09435,"CONJ SOQ 110 CM PRETO ELE ""NOVO""",56,8,24,11.2,7.155417527999327,56,24,32,28.0
1250,09436,"CONJ SOQ 90 CM BRANCO ELE ""NOVO""",4,4,4,4.0,,4,4,4,4.0
1251,09468,"CONJ SOQ 110 CM BRANCO ELE ""NOVO""",4,4,4,4.0,,4,4,4,4.0
1252,09476,COPO INJ ELETRON COBRE,732,2,100,38.526315789473685,31.73915986609992,732,8,392,66.54545454545455
1253,09479,PERFIL ESP 15X18 PRESILHA TRILHO,1568,2,96,17.617977528089888,19.14745747302517,1568,12,164,60.30769230769231
1254,09491,"TRAVESSA ACO 1,20X16X65MM ZINCADO BR ",2942,1,72,8.12707182320442,8.906120820982034,2942,6,383,113.15384615384616
1255,09532,FUNDO ARAND INJ MR,231,1,100,14.4375,23.352283971095133,231,4,100,17.76923076923077
1256,09539,BRACO INJ ARANDE SEX MR,5759,1,160,30.632978723404257,34.66182504058217,5759,8,634,221.5
1257,09540,CHAPEU INJ MARROM 340/341 LINHA CLAS,5374,1,180,50.698113207547166,52.102311403132276,5374,2,679,244.27272727272728
1258,09541,QUADRO INJ MARROM 340/341 LINHA CLAS,5767,1,72,13.569411764705883,10.706438984931863,5767,81,450,221.80769230769232
1259,09544,BOLA INJ P/ LANTER SEX C/ F MARROM,4246,1,176,13.47936507936508,12.86859306582041,4246,31,329,163.30769230769232
1260,09546,CONJ PENDENTE MARROM 430 MODENA,1051,1,176,13.64935064935065,19.704906037360765,1051,8,184,43.791666666666664
1261,09547,CHAPEU INJ RED LIN MODENA MARROM,3008,1,156,25.066666666666666,26.387778344119372,3008,2,325,120.32
1262,09548,QUADRO INJ RED LIN MODENA MARROM,2966,1,176,15.447916666666666,17.78396818577929,2966,20,313,114.07692307692308
1263,09549,BOLA INJ P/ LANTER SEX S/ F MARROM,4077,1,176,11.648571428571428,11.945167740023168,4077,43,381,156.80769230769232
1264,09551,CONJ ARANDELA MARROM 432 MODENA,825,1,48,12.692307692307692,8.375789285425354,825,3,80,35.869565217391305
1265,09552,POSTE INJ P/ BALIZADOR MARROM,137,4,52,12.454545454545455,14.417792038752928,137,4,68,19.571428571428573
1266,09553,CHAPEU INJ MARROM 380/381 LINHA RAVENA,678,1,60,11.491525423728813,11.03344895800154,678,4,134,29.47826086956522
1267,09554,PINHAO INJ MARROM 382/83/84 LINHA RAVENA,372,1,24,9.3,5.209458852746756,372,8,46,19.57894736842105
1268,09555,BRACO INJ ARANDE QUADRA MARROM,34,4,6,4.25,0.7071067811865476,34,4,14,6.8
1269,09556,QUADRO INJ P/ LANTER QUADRA MARROM,49,2,6,4.083333333333333,0.90033663737852,49,4,16,8.166666666666666
1270,09557,CHAPEU INJ P/ LANTER QUADRA MARROM,49,2,6,4.083333333333333,0.90033663737852,49,4,16,8.166666666666666
1271,09558,BOLA INJ P/ LANTER QUADRA S/ F MARROM,49,2,6,4.083333333333333,0.90033663737852,49,4,16,8.166666666666666
1272,09561,QUADRO INJ P/ LANTER SEX MARROM,1207,1,60,13.263736263736265,13.782303601063667,1207,6,105,48.28
1273,09562,CHAPEU INJ P/ LANTER SEX MARROM,1093,2,90,13.6625,17.019678669860852,1093,6,202,45.541666666666664
1274,09564,CHAPA DE AL 140 X 140 2M,1,1,1,1.0,,1,1,1,1.0
1275,09581,CONJ COPO P/ TRILHO 50CM 106 BR/CO,14,4,6,4.666666666666667,1.1547005383792517,14,4,6,4.666666666666667
1276,09582,CONJ COPO P/ TRILHO 90CM 106 BR/CO,8,4,4,4.0,0.0,8,4,4,4.0
1277,09583,CONJ COPO P/ TRILHO 50CM 106 PR/CO,141,3,18,7.421052631578948,3.5168766046922344,141,3,26,9.4
1278,09584,CONJ COPO P/ TRILHO 90CM 106 PR/CO,36,4,8,6.0,2.1908902300206647,36,4,16,9.0
1279,09755,CHAPEU PB PEND AL 611 OURO VELHO,2,2,2,2.0,,2,2,2,2.0
1280,09756,CONE ACAB PC PEND AL 611 OURO VELHO,2,2,2,2.0,,2,2,2,2.0
1281,09760,CHAPINHA AL DOBRADA  P/ TRILHO,23688,8,700,246.75,161.62809813044004,23688,100,2300,1128.0
1282,09767,CONJ SOQ FX11 120 CM RED VERMELHO,4,2,2,2.0,0.0,4,2,2,2.0
1283,09787,COPO EST AL LIN LUMEN COBRE,24,24,24,24.0,,24,24,24,24.0
1284,09791,CX PAP KRAFT S/IMPRESSAO REF 270/ 271,156,4,50,14.181818181818182,13.898332143233459,156,4,54,22.285714285714285
1285,09792,ROTULO LINHA VITRALUX PENDENTE 600,36,6,18,9.0,6.0,36,6,18,12.0
1286,09793,ROTULO LINHA VITRALUX PENDENTE 271,72,4,20,10.285714285714286,6.77530529974568,72,4,54,18.0
1287,09794,ROTULO LINHA VITRALUX PENDENTE 274/ 1,6,6,6,6.0,,6,6,6,6.0
1288,09811,"SACO PE LISO 22X57X0,08",1649,1,70,10.707792207792208,11.394830455380498,1649,16,336,63.42307692307692
1289,09830,ARANDELA G9 INJETADA BRANCA REF 800,1134,1,144,17.446153846153845,18.780833622032368,1134,1,186,43.61538461538461
1290,09831,ARANDELA G9 INJETADA PRETA REF 800,2539,1,108,24.18095238095238,19.218271030244665,2539,12,238,97.65384615384616
1291,09832,ARANDELA G9 INJETADA MARROM REF 800,522,1,96,18.642857142857142,18.561637630726214,522,4,96,29.0
